Title,"HE student enrolments by CAH level 1 subject, sex, first year marker, level of study, mode of study and country of HE provider",,,,,,
Location,UK,,,,,,
Academic years,2019/20,,,,,,
Data source,HESA,,,,,,
Data collection,"051,054",,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-13.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
2019/20 total,2532385,,,,,,
,,,,,,,
Last updated,Jan-21,,,,,,
,,,,,,,
CAH level 1,First year marker,Level of study,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,All,All,All,All,Female,2019/20,42610
01 Medicine and dentistry,All,All,All,All,Male,2019/20,27605
01 Medicine and dentistry,All,All,All,All,Other,2019/20,150
01 Medicine and dentistry,All,All,All,All,Total,2019/20,70370
01 Medicine and dentistry,All,All,Full-time,All,Female,2019/20,36470
01 Medicine and dentistry,All,All,Full-time,All,Male,2019/20,23745
01 Medicine and dentistry,All,All,Full-time,All,Other,2019/20,100
01 Medicine and dentistry,All,All,Full-time,All,Total,2019/20,60315
01 Medicine and dentistry,All,All,Part-time,All,Female,2019/20,6140
01 Medicine and dentistry,All,All,Part-time,All,Male,2019/20,3865
01 Medicine and dentistry,All,All,Part-time,All,Other,2019/20,50
01 Medicine and dentistry,All,All,Part-time,All,Total,2019/20,10055
01 Medicine and dentistry,All,All,All,England,Female,2019/20,33855
01 Medicine and dentistry,All,All,All,England,Male,2019/20,22595
01 Medicine and dentistry,All,All,All,England,Other,2019/20,105
01 Medicine and dentistry,All,All,All,England,Total,2019/20,56560
01 Medicine and dentistry,All,All,Full-time,England,Female,2019/20,28865
01 Medicine and dentistry,All,All,Full-time,England,Male,2019/20,19350
01 Medicine and dentistry,All,All,Full-time,England,Other,2019/20,65
01 Medicine and dentistry,All,All,Full-time,England,Total,2019/20,48275
01 Medicine and dentistry,All,All,Part-time,England,Female,2019/20,4995
01 Medicine and dentistry,All,All,Part-time,England,Male,2019/20,3250
01 Medicine and dentistry,All,All,Part-time,England,Other,2019/20,40
01 Medicine and dentistry,All,All,Part-time,England,Total,2019/20,8280
01 Medicine and dentistry,All,All,All,Northern Ireland,Female,2019/20,1310
01 Medicine and dentistry,All,All,All,Northern Ireland,Male,2019/20,780
01 Medicine and dentistry,All,All,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,All,All,Northern Ireland,Total,2019/20,2090
01 Medicine and dentistry,All,All,Full-time,Northern Ireland,Female,2019/20,1230
01 Medicine and dentistry,All,All,Full-time,Northern Ireland,Male,2019/20,700
01 Medicine and dentistry,All,All,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,All,Full-time,Northern Ireland,Total,2019/20,1930
01 Medicine and dentistry,All,All,Part-time,Northern Ireland,Female,2019/20,80
01 Medicine and dentistry,All,All,Part-time,Northern Ireland,Male,2019/20,75
01 Medicine and dentistry,All,All,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,All,Part-time,Northern Ireland,Total,2019/20,155
01 Medicine and dentistry,All,All,All,Scotland,Female,2019/20,5115
01 Medicine and dentistry,All,All,All,Scotland,Male,2019/20,3020
01 Medicine and dentistry,All,All,All,Scotland,Other,2019/20,50
01 Medicine and dentistry,All,All,All,Scotland,Total,2019/20,8185
01 Medicine and dentistry,All,All,Full-time,Scotland,Female,2019/20,4505
01 Medicine and dentistry,All,All,Full-time,Scotland,Male,2019/20,2675
01 Medicine and dentistry,All,All,Full-time,Scotland,Other,2019/20,35
01 Medicine and dentistry,All,All,Full-time,Scotland,Total,2019/20,7215
01 Medicine and dentistry,All,All,Part-time,Scotland,Female,2019/20,615
01 Medicine and dentistry,All,All,Part-time,Scotland,Male,2019/20,350
01 Medicine and dentistry,All,All,Part-time,Scotland,Other,2019/20,10
01 Medicine and dentistry,All,All,Part-time,Scotland,Total,2019/20,970
01 Medicine and dentistry,All,All,All,Wales,Female,2019/20,2325
01 Medicine and dentistry,All,All,All,Wales,Male,2019/20,1210
01 Medicine and dentistry,All,All,All,Wales,Other,2019/20,0
01 Medicine and dentistry,All,All,All,Wales,Total,2019/20,3540
01 Medicine and dentistry,All,All,Full-time,Wales,Female,2019/20,1875
01 Medicine and dentistry,All,All,Full-time,Wales,Male,2019/20,1020
01 Medicine and dentistry,All,All,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All,All,Full-time,Wales,Total,2019/20,2895
01 Medicine and dentistry,All,All,Part-time,Wales,Female,2019/20,455
01 Medicine and dentistry,All,All,Part-time,Wales,Male,2019/20,190
01 Medicine and dentistry,All,All,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,All,All,Part-time,Wales,Total,2019/20,645
01 Medicine and dentistry,First year,All,All,All,Female,2019/20,14070
01 Medicine and dentistry,First year,All,All,All,Male,2019/20,7865
01 Medicine and dentistry,First year,All,All,All,Other,2019/20,75
01 Medicine and dentistry,First year,All,All,All,Total,2019/20,22015
01 Medicine and dentistry,First year,All,Full-time,All,Female,2019/20,11190
01 Medicine and dentistry,First year,All,Full-time,All,Male,2019/20,6220
01 Medicine and dentistry,First year,All,Full-time,All,Other,2019/20,45
01 Medicine and dentistry,First year,All,Full-time,All,Total,2019/20,17455
01 Medicine and dentistry,First year,All,Part-time,All,Female,2019/20,2880
01 Medicine and dentistry,First year,All,Part-time,All,Male,2019/20,1645
01 Medicine and dentistry,First year,All,Part-time,All,Other,2019/20,30
01 Medicine and dentistry,First year,All,Part-time,All,Total,2019/20,4555
01 Medicine and dentistry,First year,All,All,England,Female,2019/20,11305
01 Medicine and dentistry,First year,All,All,England,Male,2019/20,6410
01 Medicine and dentistry,First year,All,All,England,Other,2019/20,35
01 Medicine and dentistry,First year,All,All,England,Total,2019/20,17755
01 Medicine and dentistry,First year,All,Full-time,England,Female,2019/20,9085
01 Medicine and dentistry,First year,All,Full-time,England,Male,2019/20,5085
01 Medicine and dentistry,First year,All,Full-time,England,Other,2019/20,15
01 Medicine and dentistry,First year,All,Full-time,England,Total,2019/20,14185
01 Medicine and dentistry,First year,All,Part-time,England,Female,2019/20,2220
01 Medicine and dentistry,First year,All,Part-time,England,Male,2019/20,1330
01 Medicine and dentistry,First year,All,Part-time,England,Other,2019/20,20
01 Medicine and dentistry,First year,All,Part-time,England,Total,2019/20,3570
01 Medicine and dentistry,First year,All,All,Northern Ireland,Female,2019/20,340
01 Medicine and dentistry,First year,All,All,Northern Ireland,Male,2019/20,220
01 Medicine and dentistry,First year,All,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First year,All,All,Northern Ireland,Total,2019/20,555
01 Medicine and dentistry,First year,All,Full-time,Northern Ireland,Female,2019/20,295
01 Medicine and dentistry,First year,All,Full-time,Northern Ireland,Male,2019/20,165
01 Medicine and dentistry,First year,All,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First year,All,Full-time,Northern Ireland,Total,2019/20,460
01 Medicine and dentistry,First year,All,Part-time,Northern Ireland,Female,2019/20,45
01 Medicine and dentistry,First year,All,Part-time,Northern Ireland,Male,2019/20,55
01 Medicine and dentistry,First year,All,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,First year,All,Part-time,Northern Ireland,Total,2019/20,95
01 Medicine and dentistry,First year,All,All,Scotland,Female,2019/20,1730
01 Medicine and dentistry,First year,All,All,Scotland,Male,2019/20,900
01 Medicine and dentistry,First year,All,All,Scotland,Other,2019/20,40
01 Medicine and dentistry,First year,All,All,Scotland,Total,2019/20,2665
01 Medicine and dentistry,First year,All,Full-time,Scotland,Female,2019/20,1330
01 Medicine and dentistry,First year,All,Full-time,Scotland,Male,2019/20,720
01 Medicine and dentistry,First year,All,Full-time,Scotland,Other,2019/20,30
01 Medicine and dentistry,First year,All,Full-time,Scotland,Total,2019/20,2080
01 Medicine and dentistry,First year,All,Part-time,Scotland,Female,2019/20,400
01 Medicine and dentistry,First year,All,Part-time,Scotland,Male,2019/20,180
01 Medicine and dentistry,First year,All,Part-time,Scotland,Other,2019/20,10
01 Medicine and dentistry,First year,All,Part-time,Scotland,Total,2019/20,590
01 Medicine and dentistry,First year,All,All,Wales,Female,2019/20,700
01 Medicine and dentistry,First year,All,All,Wales,Male,2019/20,340
01 Medicine and dentistry,First year,All,All,Wales,Other,2019/20,0
01 Medicine and dentistry,First year,All,All,Wales,Total,2019/20,1035
01 Medicine and dentistry,First year,All,Full-time,Wales,Female,2019/20,485
01 Medicine and dentistry,First year,All,Full-time,Wales,Male,2019/20,255
01 Medicine and dentistry,First year,All,Full-time,Wales,Other,2019/20,0
01 Medicine and dentistry,First year,All,Full-time,Wales,Total,2019/20,735
01 Medicine and dentistry,First year,All,Part-time,Wales,Female,2019/20,215
01 Medicine and dentistry,First year,All,Part-time,Wales,Male,2019/20,85
01 Medicine and dentistry,First year,All,Part-time,Wales,Other,2019/20,0
01 Medicine and dentistry,First year,All,Part-time,Wales,Total,2019/20,300
01 Medicine and dentistry,Other years,All,All,All,Female,2019/20,28540
01 Medicine and dentistry,Other years,All,All,All,Male,2019/20,19740
01 Medicine and dentistry,Other years,All,All,All,Other,2019/20,75
01 Medicine and dentistry,Other years,All,All,All,Total,2019/20,48355
01 Medicine and dentistry,Other years,All,Full-time,All,Female,2019/20,25280
01 Medicine and dentistry,Other years,All,Full-time,All,Male,2019/20,17520
01 Medicine and dentistry,Other years,All,Full-time,All,Other,2019/20,55
01 Medicine and dentistry,Other years,All,Full-time,All,Total,2019/20,42860
01 Medicine and dentistry,Other years,All,Part-time,All,Female,2019/20,3260
01 Medicine and dentistry,Other years,All,Part-time,All,Male,2019/20,2220
01 Medicine and dentistry,Other years,All,Part-time,All,Other,2019/20,20
