,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
294,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Sex,Female,7905
295,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Sex,Male,6100
296,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Sex,Other,0
297,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,England,1500
298,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Scotland,8025
299,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Wales,35
300,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Northern Ireland,210
301,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Other UK,10
302,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Total UK  ,9775
303,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Other European Union,2505
304,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Non-European Union,1720
305,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Total Non-UK,4225
306,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Domicile,Not known,0
307,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2015/16,Total,Total,14000
308,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Sex,Female,6585
309,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Sex,Male,5440
310,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Sex,Other,0
311,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,England,1350
312,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Scotland,6315
313,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Wales,30
314,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Northern Ireland,200
315,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Other UK,10
316,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Total UK  ,7900
317,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Other European Union,2450
318,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Non-European Union,1670
319,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Total Non-UK,4120
320,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Domicile,Not known,0
321,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2015/16,Total,Total,12020
322,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Sex,Female,1320
323,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Sex,Male,660
324,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Sex,Other,0
325,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,England,150
326,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Scotland,1710
327,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Wales,5
328,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Northern Ireland,10
329,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Other UK,0
330,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Total UK  ,1875
331,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Other European Union,55
332,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Non-European Union,50
333,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Total Non-UK,105
334,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Domicile,Not known,0
335,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2015/16,Total,Total,1980
378,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Sex,Female,3030
379,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Sex,Male,2340
380,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Sex,Other,0
381,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,England,500
382,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Scotland,2805
383,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Wales,10
384,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Northern Ireland,60
385,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Other UK,5
386,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Total UK  ,3380
387,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Other European Union,955
388,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Non-European Union,1035
389,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Total Non-UK,1990
390,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Domicile,Not known,0
391,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2015/16,Total,Total,5365
392,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Sex,Female,2435
393,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Sex,Male,2045
394,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Sex,Other,0
395,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,England,445
396,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Scotland,2025
397,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Wales,10
398,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Northern Ireland,55
399,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Other UK,0
400,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2015/16,Domicile,Total UK  ,2535
