,UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
294,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Sex,Female,8065
295,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Sex,Male,6080
296,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Sex,Other,0
297,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,England,1515
298,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Scotland,7970
299,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Wales,35
300,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Northern Ireland,200
301,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Other UK,10
302,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Total UK  ,9730
303,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Other European Union,2715
304,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Non-European Union,1705
305,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Total Non-UK,4420
306,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Domicile,Not known,0
307,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,All,2016/17,Total,Total,14150
308,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Female,6820
309,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Male,5450
310,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Other,0
311,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,England,1335
312,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Scotland,6395
313,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Wales,30
314,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Northern Ireland,185
315,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Other UK,10
316,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Total UK  ,7955
317,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Other European Union,2655
318,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Non-European Union,1660
319,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Total Non-UK,4315
320,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Not known,0
321,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Full-time,2016/17,Total,Total,12270
322,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Sex,Female,1245
323,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Sex,Male,630
324,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Sex,Other,0
325,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,England,180
326,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Scotland,1575
327,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Wales,5
328,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Northern Ireland,15
329,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Other UK,0
330,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Total UK  ,1775
331,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Other European Union,60
332,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Non-European Union,45
333,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Total Non-UK,105
334,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Domicile,Not known,0
335,10007783.0,The University of Aberdeen,Scotland,Scotland,All,All,Part-time,2016/17,Total,Total,1875
378,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Sex,Female,3320
379,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Sex,Male,2355
380,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Sex,Other,0
381,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,England,455
382,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Scotland,3080
383,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Wales,15
384,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Northern Ireland,55
385,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Other UK,0
386,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Total UK  ,3610
387,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Other European Union,1125
388,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Non-European Union,940
389,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Total Non-UK,2065
390,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Domicile,Not known,0
391,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,All,2016/17,Total,Total,5675
392,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Sex,Female,2745
393,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Sex,Male,2070
394,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Sex,Other,0
395,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,England,375
396,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Scotland,2345
397,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Wales,15
398,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Northern Ireland,50
399,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Other UK,0
400,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Total UK  ,2785
401,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Other European Union,1105
402,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Non-European Union,925
403,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Total Non-UK,2030
404,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Domicile,Not known,0
405,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Full-time,2016/17,Total,Total,4815
406,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Sex,Female,570
407,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Sex,Male,285
408,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Sex,Other,0
409,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,England,80
410,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Scotland,735
411,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Wales,0
412,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Northern Ireland,10
413,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Other UK,0
414,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Total UK  ,825
415,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Other European Union,20
416,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Non-European Union,15
417,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Total Non-UK,35
418,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Domicile,Not known,0
419,10007783.0,The University of Aberdeen,Scotland,Scotland,First year,All,Part-time,2016/17,Total,Total,860
462,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Sex,Female,4750
463,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Sex,Male,3725
464,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Sex,Other,0
465,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,England,1055
466,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Scotland,4895
467,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Wales,20
468,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Northern Ireland,145
469,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Other UK,10
470,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Total UK  ,6120
471,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Other European Union,1590
472,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Non-European Union,765
473,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Total Non-UK,2355
474,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Domicile,Not known,0
475,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,All,2016/17,Total,Total,8475
476,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Sex,Female,4075
477,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Sex,Male,3380
478,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Sex,Other,0
479,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,England,960
480,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Scotland,4050
481,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Wales,15
482,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Northern Ireland,135
483,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Other UK,5
484,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Total UK  ,5170
485,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Other European Union,1550
486,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Non-European Union,735
487,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Total Non-UK,2285
488,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Domicile,Not known,0
489,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Full-time,2016/17,Total,Total,7455
490,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Sex,Female,675
491,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Sex,Male,345
492,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Sex,Other,0
493,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,England,95
494,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Scotland,840
495,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Wales,5
496,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Northern Ireland,5
497,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Other UK,0
498,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Total UK  ,950
499,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Other European Union,40
500,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Non-European Union,30
501,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Total Non-UK,70
502,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Domicile,Not known,0
503,10007783.0,The University of Aberdeen,Scotland,Scotland,Other years,All,Part-time,2016/17,Total,Total,1020
798,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Sex,Female,1810
799,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Sex,Male,2030
800,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Sex,Other,5
801,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,England,120
802,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Scotland,3115
803,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Wales,0
804,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Northern Ireland,65
805,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Other UK,0
806,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Total UK  ,3300
807,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Other European Union,450
808,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Non-European Union,95
809,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Total Non-UK,545
810,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Domicile,Not known,0
811,10007849.0,Abertay University,Scotland,Scotland,All,All,All,2016/17,Total,Total,3845
812,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Female,1580
813,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Male,1845
814,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Sex,Other,5
815,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,England,110
816,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Scotland,2760
817,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Wales,0
818,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Northern Ireland,60
819,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Other UK,0
820,10007849.0,Abertay University,Scotland,Scotland,All,All,Full-time,2016/17,Domicile,Total UK  ,2930
