Title,"HE qualifications obtained by CAH level 1 subject, sex, level of qualification, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2019/20,,,,,
Data source,HESA,,,,,
Data collection,"051,054",,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb258/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,,,,,
2019/20 total,800335,,,,,
,,,,,,
Last updated,Jan-21,,,,,
,,,,,,
CAH level 1,Level of qualification,Mode of study,Country of HE provider,Sex,Academic Year,Number
01 Medicine and dentistry,All,All,All,Female,2019/20,11685
01 Medicine and dentistry,All,All,All,Male,2019/20,7490
01 Medicine and dentistry,All,All,All,Other,2019/20,30
01 Medicine and dentistry,All,All,All,Total,2019/20,19205
01 Medicine and dentistry,All,Full-time,All,Female,2019/20,9610
01 Medicine and dentistry,All,Full-time,All,Male,2019/20,6185
01 Medicine and dentistry,All,Full-time,All,Other,2019/20,25
01 Medicine and dentistry,All,Full-time,All,Total,2019/20,15820
01 Medicine and dentistry,All,Part-time,All,Female,2019/20,2075
01 Medicine and dentistry,All,Part-time,All,Male,2019/20,1300
01 Medicine and dentistry,All,Part-time,All,Other,2019/20,10
01 Medicine and dentistry,All,Part-time,All,Total,2019/20,3385
01 Medicine and dentistry,All,All,England,Female,2019/20,9420
01 Medicine and dentistry,All,All,England,Male,2019/20,6105
01 Medicine and dentistry,All,All,England,Other,2019/20,25
01 Medicine and dentistry,All,All,England,Total,2019/20,15550
01 Medicine and dentistry,All,Full-time,England,Female,2019/20,7620
01 Medicine and dentistry,All,Full-time,England,Male,2019/20,4970
01 Medicine and dentistry,All,Full-time,England,Other,2019/20,15
01 Medicine and dentistry,All,Full-time,England,Total,2019/20,12605
01 Medicine and dentistry,All,Part-time,England,Female,2019/20,1805
01 Medicine and dentistry,All,Part-time,England,Male,2019/20,1135
01 Medicine and dentistry,All,Part-time,England,Other,2019/20,10
01 Medicine and dentistry,All,Part-time,England,Total,2019/20,2945
01 Medicine and dentistry,All,All,Northern Ireland,Female,2019/20,300
01 Medicine and dentistry,All,All,Northern Ireland,Male,2019/20,190
01 Medicine and dentistry,All,All,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,All,Northern Ireland,Total,2019/20,490
01 Medicine and dentistry,All,Full-time,Northern Ireland,Female,2019/20,270
01 Medicine and dentistry,All,Full-time,Northern Ireland,Male,2019/20,170
01 Medicine and dentistry,All,Full-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Full-time,Northern Ireland,Total,2019/20,440
01 Medicine and dentistry,All,Part-time,Northern Ireland,Female,2019/20,30
01 Medicine and dentistry,All,Part-time,Northern Ireland,Male,2019/20,25
01 Medicine and dentistry,All,Part-time,Northern Ireland,Other,2019/20,0
01 Medicine and dentistry,All,Part-time,Northern Ireland,Total,2019/20,55
